isl_order,isl.id,easting_NAD83UTMz15_centroid,northing_NAD83UTMz15_centroid,easting,northing,length_m,area_m2,area,actual_perimeter,theoretical_perimeter,P.ratio,size_class,island_set,plant_rich,hab_amount_500,hab_amount_1000,hab_amount_2500,hab_amount_5000,isolation_100,isolation_250,isolation_500,isolation_1000,isolation_2500,isolation_5000,Geology_UnitName,Geology_RockType,SRS,BRS,BS,SM,IM,SS,TS,CW,DW,MW,CF,DF,MF,RO,hab_rich,hab_shannon,hab_simpson,woodland.hab,mixed.tree.hab,decid.tree.hab,tree.hab,meadow.hab,shrub.hab,rock.hab,shore.hab,Abies balsamea,Acer negundo,Acer rubrum,Acer spicatum,Achillea millefolium,Actaea rubra,Agalinis tenuifolia,Agrostis scabra,Alnus incana,Alnus viridis,Alopecurus aequalis,Ambrosia artemisiifolia,Amelanchier sanguinea,Anaphalis margaritacea,Anemone canadensis,Antennaria neglecta,Antennaria parvifolia,Anthoxanthum hirtum,Apocynum androsaemifolium,Apocynum cannibanum,Aquilegia canadensis,Aralia hispida,Aralia nudicaulis,Arctostaphylos uva-ursi,Astralagus canadensis,Athyrium filix-femina,Barbarea orthoceras,Betula papyrifera,Bidens cernua,Bidens connata,Bidens frondosa,Boechera grahamii,Boechera stricta,Botrypus virginianus,Bromus ciliatus,Calamagrostis canadensis,Calystegia sepium,Campanula rotundifolia,Capnoides sempervirens,Cardamine parviflora,Cardamine pensylvanica,Carex aquatilis,Carex atherodes,Carex backii,Carex brunnescens,Carex intumescens,Carex lasiocarpa,Carex peckii,Carex pellita,Carex pensylvanica,Carex siccata,Carex sp. 10,Carex sp. 11,Carex sp. 12,Carex sp. 14,Carex sp. 15,Carex sp. 17,Carex sp. 4,Carex sp. 6,Carex sp. 8,Carex stricta,Carex trisperma,Celastrus scandens,Cerastium arvense,Cerastium fontanum,Chenopodium album,Chenopodium berlandierii,Chenopodium simplex,Chimaphila umbellata,Cinna latifolia,Circaea lutetiana,Cirsium arvense,Cirsium vulgare,Collomia linearis,Commandra umbellata,Conyza canadensis,Cornus alba,Cornus canadensis,Cornus rugosa,Corydalis aurea,Corylus cornuta,Crataegus sp. 1,Cuscuta pentagona,Cyperaceae sp. 1,Cyperus odoratus,Cyperus squarrosus ,Cypripedium acaule,Danthonia spicata,Dendrolycopodium dendroideum,Dicentra cucullaria,Dichanthelium acuminatum,Diervilla lonicera,Dracocephalum parviflorum,Drymocallis arguta,Dryopteris carthusiana,Echinochloa walteri,Eleocharis acicularis,Eleocharis palustris,Elymus trachycaulis,Epilobium angustifolium,Epilobium ciliatum,Equisetum arvense,Equisetum sylvaticum,Eriegeron strigosus,Erigeron philadelphicus,Erysimum cheiranthoides,Eupatorium perfoliatum,Eurybia macrophylla,Euthamia graminifolia,Fallopia cilinodis,Fallopia scandens,Fragaria virginiana,Fraxinus nigra,Fraxinus pensylvanica,Galeopsis tetrahit,Galium aparine,Galium boreale,Galium trifidum,Galium triflorum,Geranium bicknellii,Geum aleppicum,Geum canadense,Glyceria borealis,Glycyrrhiza lepidota,Gymnocarpium dryopteris,Hackelia deflexa,Heracleum maximum,Heuchera richardsonii,Hieracium scabrum,Hieracium umbellatum,Houstonia longifolia,Hypercium majus,Impatiens capensis,Juncus balticus,Juncus dudleyi,Juncus interior,Juniperus communis,Juniperus horizontalis,Lactuca biennis,Lactuca canadensis,Lactuca ludoviciana,Lathyrus ochroleucus,Lathyrus palustris,Lonicera canadensis,Lonicera dioica,Lycopus americanus,Lycopus asper,Lysimachia ciliata,Lysmachia terrestris ,Maianthemum canadense,Maianthemum racemosum,Maianthemum stellatum,Matteuccia struthiopteris,Mentha arvensis,Mitella nuda,Moehringia laterifolia,Muhlenbergia sylvatica,Myosotis sp. 1,Oenothera oakesiana,Oenthothera biennis,Oryzopsis asperifolia,Osmorhiza longistylis,Oxalis stricta,Panicum capillare,Parthenocissus quinquefolia,Penstemon sp. 1,Persicaria amphibia,Persicaria lapathifolia,Persicaria punctata,Persicaria sagittata,Phalaris arundinaceae,Phragmites australis,Picea glauca,Pinus banksiana,Pinus resinosa,Pinus strobus,Piptatherum pungens,Plantago major,Poa glauca,Poa inteior,Poa palustris,Poa pratensis,Poaceae sp. 5 ,Polygonatum pubescens,Polygonum douglasii,Polypodium virginianum,Populus tremuloides,Portulaca oleracea,Potentilla norveigica,Potentilla rivalis,Prunus pensylvanica,Prunus virginiana,Pteridium aquilinum,Pyrola asarifolia,Quercus macrocarpa,Ranunculus abortivus,Ranunculus flammula,Ranunculus macounii,Ranunculus pensylvanicus,Rhus glabra,Ribes americanum,Ribes glandulosum,Ribes hirtellum,Ribes sp. 1,Ribes triste,Rorippa palustris,Rosa acicularis,Rosa blanda,Rosa woodsii,Rubus idaeus,Rubus pubescens,Rumex fueginus,Rumex triangulivalvis,Sagittaria rigida,Salix amygdaloides,Salix bebbiana,Salix discolor,Salix eriocephala,Salix humilis,Salix interior,Salix petiolaris,Salix planifolia,Salix serissima,Salix sp. 3,Salix sp. 5,Sambucus racemosa,Schizachne purparescens,Schoenoplectus acutus,Schoenoplectus heterochaetus,Schoenoplectus pungens,Schoenoplectus tabernaemontani,Scirpus cyperinus,Scutellaria galericulata,Scutellaria laterifolia,Selaginella rupestris,Sibbaldia tridentata,Silene antirrhina,Sium suave ,Smilax herbacea,Solanum ptychanthum,Solidago gigantea,Solidago nemoralis,Sonchus asper,Sorbus  aucuparia,Sorbus decora,Sparangium eurycarpum,Spirea alba,Stachys arenicola,Stachys pilosa,Stellaria longifolia,Strophostyles leiosperma,Symphoricarpos albus,Symphyotrichum ciliolatum,Symphyotrichum lanceolatum,Taraxacum officinale,Taxus canadensis,Thuja occidentalis,Tilia americana,Toxicodendron rydbergii,Trientalis borealis,Trillium cernuum,Triodanis perfoliata,Typha latifolia,Ulmus americana,Urtica dioica,Uvularia sessilifolia,Vaccinium angustifolium,Vaccinium caespitosum,Vaccinium myrtilloides,Verbascum thapsus,Verbena hastata,Veronica peregrina,Viburnum lentago,Viburnum rafinesquianum,Vicia americana,Viola canadensis,Viola novae-angliae,Viola sp. 1,Woodsia ilvensis,Xanthium strumarium,Ziziana palustris
11,1292,405344,5452705,405344,5452705,181,2037,0.2037,181,159.9928027,1.13130089,0.2,small,57,0.229525,0.279649,0.315586,0.423358,1,0.9331401,0.7656161,0.7252461,0.6845197,0.575460619,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,14,1,0,15,5,25,0,37.5,0,0,0,0,0,2.5,7,4.769629647,4.024954719,0,0,0,0,0,25,2.5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0
12,1196,403354,5450922,403354,5450922,196,2132,0.2132,196,163.6810988,1.197450417,0.2,small,63,0.034854,0.120609,0.272968,0.323751,0.9995007,0.9951596,0.9629123,0.8733021,0.7273405,0.676656257,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,25,5,0,10,0,5,20,0,15,15,0,0,0,5,8,6.801992055,6.060606061,30,15,15,30,15,25,5,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
13,1152,401423,5450220,401423,5450220,292,3955,0.3955,292,222.9349585,1.309799064,0.4,small,82,0.121781,0.209355,0.309694,0.316921,0.9946281,0.9081955,0.8783254,0.7824978,0.6867561,0.685190969,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,25,5,0,10,0,1,0,0,0,0,0,59,0,0,5,2.956404201,2.36294896,0,0,59,59,59,1,0,30,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
14,500,412659,5441417,412659,5441417,265,4074,0.4074,265,226.2639914,1.171198291,0.4,small,32,0.005602,0.047401,0.299408,0.453681,0.9986819,0.9997115,0.999397,0.9446968,0.696943,0.544283574,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,10,0,0,0,0,10,62.5,15,2.5,0,0,0,0,0,5,3.098937377,2.305475504,2.5,0,2.5,2.5,2.5,72.5,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,285,391599,5437694,391599,5437694,394,8252,0.8252,394,322.0212574,1.223521712,0.8,small,106,0.063437,0.132716,0.139838,0.223905,0.9982225,0.9687873,0.9254558,0.8626981,0.855478,0.773064148,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,5,5,0,2.5,0,2.5,25,0,5,0,0,55,0,0,7,3.703164611,2.675585284,5,0,60,60,60,27.5,0,10,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0
16,618,400932,5443720,400932,5443720,503,9439,0.9439,503,344.4037922,1.460494952,1,large,57,0.027024,0.007793,0.015295,0.185809,0.990363,0.9910412,0.987548,0.9951929,0.9825681,0.812726356,Mafic to intermediate metavolcanic rocks,"Basaltic and andesitic flows, tuffs and breccias, chert, iron formation, minor metasedimentary and intrusive rocks, related migmatites",5,5,0,15,2.5,15,52.5,0,2.5,0,0,0,0,2.5,8,4.409064853,3.053435115,2.5,0,2.5,2.5,2.5,67.5,2.5,10,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
17,306,395895,5437923,395895,5437923,506,9454,0.9454,506,344.6773385,1.468039652,1,large,91,0.05061,0.082123,0.072794,0.059213,0.9977707,0.9994396,0.9438824,0.912408,0.9309408,0.940592268,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,15,1,0,14,10,24,15,0,20,0,0,0,0,1,8,6.24105486,5.800464037,20,0,20,20,20,39,1,16,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
18,637,400742,5443974,400742,5443974,539,9505,0.9505,539,345.6057762,1.559580415,1,large,73,0.027024,0.008302,0.012751,0.170382,0.9864227,0.9899429,0.9883033,0.995339,0.9832401,0.827588141,Mafic to intermediate metavolcanic rocks,"Basaltic and andesitic flows, tuffs and breccias, chert, iron formation, minor metasedimentary and intrusive rocks, related migmatites",10,5,0,10,5,50,10,0,5,0,0,0,0,5,8,5.137135215,3.448275862,5,0,5,5,5,60,5,15,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,802,414356,5445871,414356,5445871,474,9573,0.9573,474,346.8398272,1.366625061,1,large,77,0.012095,0.061737,0.114466,0.360386,0.9963576,0.998932,0.9925446,0.9366482,0.8800296,0.641005022,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,7.5,2.5,0.1,5,0,20,35,0,25,0,0,0,0,5,8,5.094921088,4.241256122,25,0,25,25,25,55,5,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,537,395094,5442435,395094,5442435,522,9697,0.9697,522,349.0789248,1.495363836,1,large,90,0.274087,0.096522,0.06204,0.090924,0.9958146,0.8678306,0.768942,0.9189056,0.9389059,0.906227542,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,7.5,2.5,0,10,5,20,15,0,30,0,0,10,0,0,8,6.452341431,5.517241379,30,0,40,40,40,35,0,10,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0
21,874,402331,5446861,402331,5446861,417,9816,0.9816,417,351.2143132,1.187309242,1,large,81,0.38059,0.292918,0.192461,0.198636,0.9975335,0.811234,0.6217065,0.7216415,0.8129516,0.799541208,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,9,1,1,1,4,14,25,30,0,5,0,0,0,10,10,6.338813449,5.138746146,5,5,0,5,0,39,10,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
22,737,415873,5445135,415873,5445135,424,10207,1.0207,424,358.1409565,1.183891405,1,large,71,0.025719,0.040118,0.209458,0.340373,0.997913,0.9994938,0.9781615,0.9604586,0.7806593,0.655971452,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,9,1,0,10,2.5,17.5,49,10,0,0,0,0,0,1,8,4.554512897,3.337226765,0,0,0,0,0,66.5,1,10,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,451,411910,5440824,411910,5440824,427,10218,1.0218,427,358.3338873,1.191626065,1,large,70,0.048222,0.094246,0.344099,0.538987,0.9947589,0.9986454,0.9532694,0.9127541,0.6430513,0.460729145,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,9,1,0,2.5,0,15,45,10,5,7.5,0,0,0,5,9,5.601234546,3.930045196,12.5,7.5,5,12.5,5,60,5,10,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
24,621,411892,5443553,411892,5443553,769,18339,1.8339,769,480.056945,1.601893292,2,large,112,0.11968,0.16103,0.122288,0.311922,0.9961014,0.9540595,0.8939958,0.8195473,0.878303,0.683919127,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,5,5,0.1,2.5,10,15,25,10,15,10,0,0,0,2.5,11,8.136126889,6.970393249,25,10,15,25,15,40,2.5,10,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
